sample_id,m_hot_kg_s,m_cold_kg_s,cp_hot_J_kgK,cp_cold_J_kgK,UA_W_K,T_hot_in_C,T_cold_in_C,Q_kW,T_hot_out_C,T_cold_out_C,effectiveness,NTU,LMTD_K,split
840,1.12695,0.187542,3167.72,2821.74,1107.16,115.908,24.0492,41.4647,104.293,102.403,0.852981,2.09215,37.4516,train
841,2.26185,1.20662,3176.72,2720.07,169.574,285.499,10.9614,44.863,279.255,24.6305,0.0497895,0.0516665,264.564,train
842,0.118627,4.06059,2149.09,1764.48,2298.71,170.476,52.1927,30.1502,52.2117,56.4007,0.999839,9.01669,13.1162,test
843,3.79412,0.500813,2294.06,3177.43,12335.5,222.546,42.7283,285.729,189.719,222.286,0.99855,7.75184,23.1632,test
844,0.238429,0.120051,1497.79,1000.62,1973.36,280.92,48.034,27.9752,202.584,280.917,0.999988,16.4275,14.1765,train
845,0.0671113,0.0697166,2846.6,2597.75,276.629,275.95,46.496,25.5092,142.421,187.348,0.61386,1.52744,92.2145,train
846,3.77229,3.54892,3683.72,2398.79,806.492,192.055,46.1013,109.346,184.186,58.9457,0.0880031,0.0947352,135.582,train
847,0.059674,0.498456,1368.08,3561.05,528.409,179.799,36.9463,11.6392,37.23,43.5035,0.998014,6.47254,22.0268,train
848,3.65122,0.200804,1849.85,1020.8,9854.25,172.57,22.2928,30.804,168.01,172.57,1,48.0741,3.12596,train
849,2.28624,0.747737,3523.16,1433.54,11133.2,276.784,21.7504,273.343,242.848,276.756,0.999893,10.3864,24.552,test
850,0.358714,0.0657104,1681.67,2159.99,423.989,225.941,38.2628,24.5125,185.306,210.966,0.920211,2.98723,57.8139,train
851,0.0603007,4.13873,3360.11,3654.68,109.356,186.171,53.9654,11.1469,131.156,54.7023,0.416129,0.539715,101.933,train
852,0.752582,0.482587,3413.5,2439.53,18571,190.398,58.3264,155.469,129.879,190.384,0.999895,15.7744,8.37162,train
853,0.395164,0.394234,3766.1,2497.01,10228.9,106.582,17.2284,87.0587,48.0836,105.666,0.989756,10.391,8.51102,train
854,1.15251,1.40944,3451.6,3279.35,141.459,92.1953,44.226,6.56838,90.5441,45.6471,0.0344215,0.0355603,46.433,train
855,0.0917309,0.425539,2350,1325.3,2640.13,277.839,25.2011,54.443,25.2819,121.737,0.99968,12.2474,20.6214,train
856,0.808666,3.74766,1211.4,1919.88,748.431,103.098,11.9807,46.3896,55.7432,18.4281,0.519712,0.764002,61.9825,train
857,0.406447,0.104715,2563.01,3783.36,5072.18,128.061,31.8639,38.1022,91.4849,128.04,0.999778,12.8029,7.51199,train
858,3.45655,4.07021,1517.76,4071.34,115.404,102.244,6.98844,10.8357,100.178,7.64232,0.0216832,0.0219976,93.8939,train
859,0.131599,0.539461,3291.45,1388.58,6672.11,96.2508,48.5277,20.6581,48.5581,76.1054,0.999363,15.4037,3.09619,train
860,2.39487,0.175443,3897.77,2161.52,8210.38,167.348,26.8024,53.2982,161.638,167.348,1,21.6505,6.49157,train
861,0.295677,1.39836,3216.47,4017.39,14430,90.551,59.8869,29.1626,59.887,65.078,0.999997,15.1729,2.02097,train
862,0.773546,0.0514135,1055.62,2105.1,628.018,296.941,42.6214,27.3694,263.423,295.502,0.994343,5.80259,43.5806,test
863,3.77581,1.97227,1805.61,1145.43,17930.3,130.804,16.353,257.696,93.0056,130.424,0.99668,7.93699,14.3721,train
864,0.305052,0.446954,1422.13,3065.63,323.711,243.101,27.7086,46.0901,136.859,61.3462,0.493247,0.746179,142.381,train
865,1.51938,2.04043,1701.54,1451.27,110.37,205.379,44.6072,17.0621,198.78,50.3691,0.0410502,0.0426915,154.591,test
866,3.76317,0.572796,1603.97,2956.14,571.815,103.329,17.2485,40.3084,96.6506,41.0536,0.276546,0.337699,70.4921,train
867,1.36914,0.651404,4001.83,3924.67,16804.8,250.503,53.0525,496.595,159.868,247.297,0.983764,6.57323,29.5509,test
868,0.431756,0.0981508,4030.83,1805.93,579.365,180.302,48.7348,22.2026,167.544,173.994,0.952053,3.26857,38.3223,test
869,3.02106,0.475861,4144.44,3235.26,15302.3,284.635,35.9623,382.785,254.063,284.6,0.999856,9.93954,25.015,train
870,0.556861,0.110795,2762.54,2963.52,670.305,133.995,24.8287,29.931,114.538,115.987,0.835039,2.04148,44.6529,train
871,0.0996577,0.0880651,2293.26,3609.69,3552.41,82.0909,56.4543,5.83797,56.5464,74.8192,0.996407,15.5438,1.64339,train
872,0.778893,1.39961,3919.75,2332.68,4778.6,192.461,47.9936,274.463,102.563,132.06,0.622271,1.56518,57.4359,train
873,1.63741,0.06655,3271.55,3241.06,5240.02,214.521,27.2204,40.3992,206.979,214.521,1,24.294,7.70974,test
874,0.216968,2.46471,3717.9,1139.1,778.491,274.609,35.455,112.137,135.597,75.3959,0.581267,0.965073,144.043,train
875,2.94258,0.0510229,1780.42,1620.56,242.101,263.686,12.2756,19.6405,259.937,249.808,0.9448,2.92797,81.1253,train
876,2.10864,0.45883,3617.67,2424.25,2862.48,227.939,56.485,172.332,205.348,211.415,0.903622,2.57343,60.2036,test
877,0.154196,3.29903,3607.16,3710.63,15145.2,204.71,32.7957,95.6202,32.7957,40.6069,1,27.2293,6.31358,train
878,0.243789,1.15447,3316.22,1905.44,1659.08,210.956,17.1573,126.597,54.366,74.7075,0.808004,2.05215,76.3057,train
879,0.163811,0.0954805,1796.1,1993.97,6629.26,294.508,37.5819,48.9149,128.255,294.507,0.999998,34.8202,7.37864,train
880,0.424406,2.42619,4060.09,1085.68,113.219,99.0387,44.5391,5.85212,95.6424,46.7608,0.0623166,0.0657058,51.6883,train
881,2.33298,0.282861,3719.62,3718.39,5556.06,94.5164,57.5335,38.5683,90.0719,94.2028,0.991522,5.2825,6.94167,train
882,1.87711,0.219797,2311.84,2835.08,1170.14,286.491,44.0687,124.39,257.827,243.685,0.823422,1.8778,106.303,train
883,3.15899,0.0547456,1067.78,3568.93,3438.92,220.915,29.9959,37.3024,209.856,220.915,1,17.6009,10.8471,train
884,0.375779,2.41535,2841.07,1783,1078.44,99.5955,31.0394,44.0627,58.3234,41.2709,0.60202,1.01014,40.8578,train
885,0.378881,0.508721,1245.09,2362.56,546.624,241.403,25.2161,63.956,105.829,78.4291,0.627114,1.15874,117.002,train
886,1.29843,0.0792475,1094.7,2494.37,812.384,251.417,20.2883,44.5398,220.082,245.61,0.974875,4.10975,54.8261,train
887,1.19167,0.822218,3852.07,2186.79,635.531,114.322,16.7887,49.5962,103.518,44.3725,0.282814,0.353462,78.039,train
888,0.0884952,1.62286,2233.21,2417.8,140.053,170.037,55.2878,11.4008,112.349,58.1934,0.502731,0.70867,81.4032,train
889,0.992091,0.72777,2841.18,3731.3,208.285,299.157,8.98959,56.2054,279.217,29.6874,0.0713305,0.0767016,269.848,train
890,4.3255,0.075041,3924.85,3280.55,336.825,287.485,39.1032,45.4397,284.808,223.686,0.74314,1.36823,134.906,train
891,0.455257,4.912,1176.11,2445.75,9481.5,282.725,23.7299,138.675,23.7299,35.2731,1,17.7081,14.6258,train
892,0.168064,0.91174,3999.95,3842.92,106.16,183.486,27.675,15.0994,161.025,31.9845,0.144156,0.157918,142.233,train
893,0.0704007,0.0671808,2080.93,1906.16,3242.71,106.221,9.53107,12.3151,22.1581,105.7,0.99461,25.3223,3.7978,train
894,0.0604797,0.761165,2206.08,4095.39,1035.13,111.936,10.6367,13.508,10.6944,14.9699,0.99943,7.75822,13.0496,train
895,0.0949104,0.434443,4151.34,2638.34,7235.89,257.843,58.4382,78.5663,58.4389,126.983,0.999996,18.3649,10.8579,train
896,0.482497,0.171232,2690.53,2510.16,282.813,250.327,16.8417,45.4143,215.344,122.5,0.452529,0.65798,160.58,train
897,3.87652,0.6648,1634.02,3936.1,2589.88,183.977,23.0684,241.267,145.888,115.271,0.573013,0.989746,93.1576,train
898,0.879021,0.205794,2866.07,4116.73,1484.02,139.244,14.7079,81.0394,107.077,110.364,0.768096,1.75168,54.608,train
899,2.39208,4.41222,1398.81,3976.3,583.651,230.648,47.7647,96.5531,201.793,53.2681,0.157782,0.174429,165.43,train
900,0.0792251,4.56699,4170.8,1247.77,11336.1,268.443,21.486,81.6025,21.486,35.8059,1,34.3069,7.19847,train
901,3.94629,0.064126,3130.04,2844.58,2543.65,108.651,43.2851,11.9235,107.686,108.651,0.999999,13.9446,4.68757,train
902,1.83346,0.0583125,1252.31,2853.29,226.279,254.382,29.1611,27.4216,242.439,193.972,0.731774,1.35999,121.185,train
903,0.0525066,0.0831492,3759.64,2133.56,1344.27,124.128,29.9598,15.3585,46.3267,116.534,0.919348,7.57749,11.4251,train
904,0.719641,0.849591,4134.06,1535.4,5230.46,241.269,28.3694,260.515,153.702,228.079,0.938048,4.00966,49.8072,test
905,0.0972148,1.82307,2258.1,1375.92,609.661,236.96,28.5394,42.4177,43.7312,45.4496,0.92711,2.77724,69.5759,train
906,1.49798,1.38832,1874.47,2876.83,138.493,130.828,29.2432,13.5014,126.019,32.6237,0.0473333,0.0493221,97.4883,test
907,0.110496,0.784063,2072.72,3707.28,8563.78,278.847,46.0196,53.3236,46.0196,64.3645,1,37.392,6.22664,train
908,0.369646,0.724163,3950.26,3568.43,2090.67,203.712,58.2011,141.33,106.924,112.893,0.665161,1.43177,67.6006,train
909,4.64957,0.934176,2677.57,1305.72,6554.9,113.522,10.998,124.17,103.549,112.796,0.992915,5.37389,18.9431,train
910,0.921607,1.46246,1281.41,2032.23,19016.6,92.6758,28.1825,76.1609,28.1849,53.8082,0.999963,16.1027,4.00497,test
911,2.70185,2.39875,3245.26,3727.76,11196.4,216.213,32.4684,908.463,112.605,134.064,0.563873,1.27694,81.1386,train
912,0.222598,2.27436,3226.47,2011.89,2677.46,104.426,8.00437,66.7139,11.5367,22.5842,0.963366,3.72798,24.9169,train
913,0.0666475,0.22038,1822.63,3225.93,3649.5,229.571,13.9659,26.1903,13.9659,50.8055,1,30.0436,7.17642,train
914,1.00213,4.51011,3577.07,3313.26,13846,268.346,46.7909,761.75,55.8454,97.7674,0.959132,3.86251,55.0161,train
915,0.466343,0.96272,3471.24,1720.57,7165.37,290.448,6.60314,378.255,56.782,234.959,0.823217,4.42638,52.7893,train
916,0.110639,0.165886,2290.06,2568.36,17526.8,155.526,23.937,33.3405,23.937,102.191,1,69.175,1.90226,test
917,1.0631,0.992977,2004.75,3933.15,676.266,126.397,57.7633,37.222,108.932,67.2939,0.254466,0.317309,55.0405,train
918,0.388986,3.90363,3603.44,3873.95,6196.43,224.17,57.4079,229.9,60.1536,72.6104,0.983535,4.42069,37.1021,train
919,0.109493,1.05141,3726.28,2952.46,2052.74,281.527,14.3828,107.796,17.3234,49.1081,0.988993,5.0312,52.5131,train
920,0.0586745,0.0959018,1616.66,2741.47,15172.1,268.552,53.9989,20.3518,53.9989,131.408,1,159.948,1.3414,train
921,1.32497,0.117822,2054.63,2123.91,3564.77,121.107,54.3582,16.7032,114.971,121.106,0.999998,14.2453,4.68564,train
922,0.0667336,0.320932,2700.94,4109.65,4631.82,152.489,41.7001,19.9691,41.7001,56.8406,1,25.6975,4.31128,train
923,1.8925,0.0809299,2546.31,2629.97,1854.39,223.018,6.96418,45.975,213.477,222.968,0.999769,8.71244,24.7926,train
924,3.05441,0.13929,3683.81,3984.53,3246.3,115.332,42.5563,40.243,111.755,115.066,0.996343,5.84915,12.3966,train
925,0.183123,0.475141,1753.79,2754.12,18364.7,210.37,6.2627,65.5507,6.2627,56.3552,1,57.1826,3.56938,train
926,0.20838,0.141635,1745.69,2825.4,6645.79,235.601,13.4941,79.1097,18.1269,211.182,0.979142,18.2694,11.9037,test
927,0.575865,0.13625,2151.99,3272.9,11622.1,299.995,10.4088,129.136,195.79,299.995,1,26.0625,11.1112,train
928,2.31701,0.0851109,2997.9,2185.12,18519.7,211.83,28.5848,34.0794,206.924,211.83,1,99.5802,1.84018,train
929,0.231643,1.99946,3770.46,1297.45,16289,168.078,59.6511,94.6996,59.6514,96.1555,0.999997,18.65,5.81373,train
930,0.257317,0.455144,3627.63,2408.81,3257.88,292.114,29.5876,201.093,76.685,213.007,0.820599,3.49014,61.725,train
931,1.40248,1.25649,1109.2,3196.61,8083.52,231.452,13.2954,330.617,18.9235,95.6099,0.974201,5.19629,40.9001,train
932,0.458777,0.847197,2394.18,2336.74,5221.25,107.895,47.7752,62.2392,51.2312,79.2142,0.942514,4.75352,11.9204,train
933,0.201881,1.6628,3561.96,3211.6,256.821,248.662,13.6434,49.859,179.326,22.9799,0.295024,0.357146,194.139,train
934,0.252545,0.249256,2830.23,3628.88,9831.72,169.552,51.6683,83.2265,53.1123,143.68,0.987751,13.7553,8.4651,train
935,2.9593,3.45788,2286.68,1729.22,3858.43,276.064,36.7923,574.065,191.23,132.799,0.401244,0.645282,148.782,train
936,0.387107,0.701849,2893.59,3767.69,11482.5,281.038,30.0719,280.674,30.4652,136.213,0.998433,10.251,24.4437,train
937,0.115712,0.301737,2931.93,3762.51,239.251,294.759,33.5068,42.2824,170.128,70.7505,0.477053,0.705214,176.728,train
938,0.155304,0.102024,3777.3,2264.91,19309.7,274.347,28.006,56.9233,177.312,274.347,1,83.5646,2.94791,train
939,0.341736,0.798739,3663.3,3432.17,348.765,253.704,41.4202,61.4511,204.617,63.8361,0.231233,0.278593,176.196,train
940,0.792795,2.31707,3286.66,3685.32,1164.22,132.08,32.0752,89.5879,97.6979,42.5666,0.343805,0.446807,76.951,train
941,0.12713,0.172343,2928.37,4175.69,5110.49,189.158,17.8243,63.7437,17.934,106.4,0.99936,13.7274,12.4731,train
942,0.994835,0.897511,1690.58,3305.25,2718.68,189.572,11.6077,209.724,64.8736,82.3053,0.700694,1.61649,77.1417,train
943,0.525909,0.563384,1878.55,2563.68,8454.82,122.222,43.694,75.8622,45.4343,96.218,0.977839,8.55799,8.97265,test
944,0.0566903,2.17433,4070.61,2138.63,3721.36,125.25,49.1753,17.5554,49.1753,52.9506,1,16.1263,4.71745,test
945,0.261164,0.106502,2631.85,1032.43,1438.93,121.808,40.4011,8.95106,108.785,121.807,0.999986,13.0864,6.22063,train
946,0.398663,0.576427,3751.7,2476.36,573.397,128.995,53.1531,31.2283,108.116,75.0303,0.288458,0.401696,54.462,train
947,0.0574324,0.901225,1349.11,3207.35,1728.83,116.01,14.8681,7.8367,14.8681,17.5792,1,22.3126,4.53294,test
948,1.92199,0.0919611,1760.9,1340.72,173.085,285.836,21.2022,24.4221,278.62,219.283,0.748508,1.40384,141.099,train
949,0.0564536,1.49798,1219.67,3147.09,589.587,117.688,43.756,5.0895,43.7718,44.8356,0.999787,8.56275,8.63231,train
950,0.171492,0.143198,2698.26,2520.05,2523.55,245.694,9.11151,80.5335,71.6539,232.278,0.943293,6.99302,31.9127,train
951,4.17776,0.0531766,2176.6,3602.35,3904.61,232.641,45.6574,35.8187,228.701,232.641,1,20.3831,9.17344,test
952,0.0515469,0.759414,2602.73,1846.65,5541.42,161.208,22.5118,18.6078,22.5118,35.7806,1,41.3037,3.35795,train
953,1.79499,0.140854,2182.79,1227.37,6160.86,265.233,27.6041,41.0812,254.748,265.233,1,35.6367,6.66809,train
954,1.68038,0.0985148,2686.01,2236.74,14934,228.477,58.7986,37.3889,220.193,228.477,1,67.7736,2.5036,train
955,3.64021,0.265378,2634.4,2283.23,223.449,266.395,40.7141,41.8156,262.034,109.726,0.305794,0.368777,187.137,test
956,0.156506,2.93193,3390.52,3246.48,3399.4,134.916,57.6597,40.9037,57.8319,61.957,0.997771,6.40628,12.0326,train
957,0.109927,0.994233,1465.82,1061.79,1461.26,123.927,49.7492,11.9478,49.7781,61.067,0.99961,9.06866,8.17639,train
958,2.18644,1.4209,2588.9,2040.2,2628.71,225.717,37.8775,290.142,174.46,137.963,0.532825,0.906788,110.374,train
959,0.340488,0.0647103,1931.51,1909.92,520.317,299.362,17.3572,33.9207,247.784,291.815,0.973239,4.20997,65.1923,train
960,0.921025,1.3021,3274.11,1796.54,112.109,248.254,43.0869,22.0622,240.938,52.5181,0.0459684,0.0479249,196.792,train
961,0.636634,0.0668905,3789.79,2582.65,3584.09,295.754,46.3155,43.0915,277.893,295.754,1,20.7468,12.023,train
962,1.46658,0.206914,2821.96,2390.25,723.033,103.796,14.5434,33.0475,95.8111,81.3634,0.748659,1.46192,45.7068,test
963,0.174888,0.0900324,3246.13,1644.38,8127.95,160.903,21.3126,20.666,124.5,160.903,1,54.9009,2.54259,test
964,0.299927,3.61337,1250.09,2792.22,877.797,181.091,48.6243,44.6277,62.0636,53.0475,0.898546,2.34119,50.8406,train
965,1.00818,4.73973,2740.36,3030.9,541.774,255.857,57.7773,95.9024,221.144,64.4531,0.175244,0.196097,177.015,train
966,0.0502688,0.0664086,1426.57,3690.33,146.527,131.653,30.6669,5.94525,48.7481,54.9264,0.820954,2.04328,40.5744,train
967,0.149677,0.238148,1385.53,1961.39,3447.63,233.635,5.05597,47.4006,5.06826,106.535,0.999946,16.6245,13.7488,test
968,0.0862832,0.39514,1719.29,1420.82,485.609,267.477,25.0053,33.5313,41.4428,84.7307,0.932209,3.2735,69.0499,train
969,1.34028,1.60657,3162.97,2094.55,505.728,175.684,35.6581,62.399,160.964,54.2014,0.132428,0.150289,123.384,train
970,0.402847,1.80379,3260.46,2578.97,4882.99,295.515,52.6815,302.752,65.0163,117.762,0.949205,3.71764,62.0014,train
971,0.396281,0.162951,2882.5,2645.32,5724.67,293.635,31.2747,113.075,194.645,293.593,0.99984,13.2805,19.7522,train
972,0.276553,3.95928,1093.76,3543.48,3145.54,289.982,47.5962,73.3145,47.6053,52.8219,0.999963,10.3991,23.3074,train
973,0.129,0.0872529,1572.6,2533.42,264.565,143.23,56.5329,10.1876,93.0116,102.621,0.57924,1.30413,38.5072,test
974,0.156324,0.969902,2604.04,2681.78,239.825,288.16,22.8686,46.7417,173.336,40.8388,0.432822,0.589143,194.9,train
975,1.37327,0.310456,2814.38,1478.4,364.338,183.363,15.4674,41.2067,172.701,105.247,0.534733,0.793803,113.1,train
976,0.216341,2.08245,2945.46,2083.07,11990.7,239.806,13.8839,143.963,13.8839,47.0711,1,18.8171,12.0062,train
977,0.932615,0.0646612,2527.76,3104.69,273.19,236.51,34.2982,29.6317,223.941,181.901,0.729941,1.36082,108.466,train
978,0.267618,1.06033,1233.05,2996.01,1522.1,151.736,44.488,34.8815,46.0309,55.4682,0.985614,4.61262,22.9166,train
979,0.0873393,0.371688,1028.28,1372.29,998.2,230.145,50.2285,16.1567,50.2441,81.9044,0.999913,11.1147,16.1859,train
980,0.0606031,0.066014,2598.56,3113.18,276.547,84.3879,21.0992,6.82389,41.0562,54.3034,0.684667,1.75607,24.6753,train
981,3.48618,0.221199,1194.12,1777.58,585.081,277.971,58.9348,65.345,262.274,225.124,0.758726,1.48801,111.685,train
982,1.74102,2.31264,3133.39,3770.32,299.15,151.375,18.348,38.0957,144.392,22.7171,0.052495,0.0548367,127.346,train
983,0.46839,0.492041,3525.62,1471.35,5088.04,87.2197,57.5846,21.22,74.3697,86.8955,0.989061,7.02803,4.17058,test
984,2.68716,0.0523049,3241.25,4078.74,2290.66,278.399,15.4221,56.1014,271.958,278.392,0.999972,10.7373,24.4913,train
985,0.192116,1.5482,3620.81,3222.73,684.1,111.425,49.6623,26.0932,73.9141,54.892,0.60734,0.983445,38.1424,train
986,0.753396,0.313142,1542.88,3045.37,16934.2,257.912,58.9638,188.271,95.9447,256.389,0.992341,17.7575,11.1178,test
987,3.35375,0.0534254,1217.02,1361.8,1670.32,252.039,55.3881,14.3073,248.534,252.039,1,22.9583,8.56557,train
988,0.537143,0.214215,3593.88,1671.18,5152.54,233.565,42.8259,68.2827,198.193,233.564,0.999993,14.3929,13.2522,train
989,0.540179,1.69674,3907.18,2157.94,2561.23,190.111,34.899,200.934,94.9082,89.777,0.613373,1.21352,78.452,train
990,3.54739,1.95699,2057.94,2084.5,13372.1,264.87,16.2936,892.735,142.583,235.137,0.880384,3.27801,66.7608,train
991,0.26571,1.73386,3247.75,3582.95,514.25,155.973,42.2942,42.9473,106.206,49.2074,0.437789,0.595915,83.5144,train
992,0.254458,1.55124,2475.29,2535.64,1634.44,267.178,19.74,140.772,43.6791,55.529,0.903252,2.59494,86.1285,train
993,0.215441,0.0559075,1814.31,2968.74,6087.12,279.119,54.7368,37.2418,183.842,279.119,1,36.6749,6.11814,train
994,0.245925,3.23279,4192.56,3255.86,601.627,253.359,50.6044,90.8073,165.287,59.2317,0.434378,0.583506,150.936,test
995,0.979878,0.94532,1999.28,1733.1,3888.96,249.978,12.0823,289.841,102.028,188.994,0.743654,2.37372,74.5292,train
996,0.586528,0.120792,1763.56,1888.04,126.057,138.425,18.7243,11.1546,127.641,67.6352,0.40861,0.552738,88.4884,train
997,1.03454,0.245109,2223.01,3249.65,1154.74,156.129,19.0306,77.2387,122.544,116.001,0.707307,1.44974,66.8884,train
998,0.0764681,0.129537,3215.11,2788.88,10201,87.7792,42.9646,11.0178,42.9646,73.4626,0.999999,41.4924,1.08007,train
999,1.09757,0.325356,3612.72,1408.87,3016.71,278.558,9.22704,123.133,247.504,277.851,0.997375,6.58115,40.8171,train
1000,2.21981,0.13949,3820.12,1191.41,195.966,121.954,53.0994,7.89026,121.024,100.577,0.689531,1.17917,40.2634,train
1001,0.384092,0.41298,1764.13,2451.81,1636.61,177.667,10.9915,88.8985,46.469,98.788,0.787146,2.41534,54.3188,test
1002,1.56464,3.74546,2414.35,3992.97,995.297,286.626,26.5394,221.584,227.969,41.3556,0.22553,0.263474,222.631,train
1003,0.388647,0.345489,3541.19,1179.79,172.525,286.786,13.1703,36.8306,260.025,103.529,0.330238,0.423264,213.48,train
1004,0.0521987,0.163499,3649.28,3355.69,202.835,102.343,13.5523,10.2492,48.5382,32.233,0.605974,1.06482,50.5296,train
1005,4.12835,0.578711,4076.6,1425.68,9178.12,146.941,43.0579,85.7076,141.848,146.939,0.999976,11.1242,9.33825,test
1006,0.688906,1.80499,2294.98,3137.19,170.791,164.423,12.1679,24.3118,149.046,16.4613,0.100996,0.108025,142.348,train
1007,0.05275,0.100819,1025.74,1924.51,374.456,264.489,22.3544,13.037,23.5442,89.5454,0.995086,6.92056,34.8157,test
1008,0.0511418,0.130278,3427.2,3419.49,4441.66,135.429,20.2291,20.1915,20.2291,65.554,1,25.3414,4.54593,train
1009,1.70132,3.0553,1158.69,1132.99,14361.5,139.833,19.6851,232.306,21.9888,86.7937,0.980826,7.28527,16.1756,test
1010,0.111185,0.312303,3453.01,1204.72,2046.91,171.546,23.41,47.4746,47.8888,149.592,0.851802,5.44046,23.1933,train
1011,0.875116,0.142307,3720.26,1821.63,920.917,126.192,38.4278,21.9526,119.449,123.111,0.964901,3.5525,23.8377,train
1012,1.29093,0.161415,3581.23,3314.28,1272.92,197.814,34.8456,77.6473,181.019,179.987,0.890609,2.3794,60.9992,train
1013,0.251193,1.31155,1734.85,3631.8,4330.41,265.748,13.3507,109.978,13.3782,36.4395,0.999891,9.93709,25.3967,train
1014,4.19033,0.757028,4004.56,2980.25,3069.23,116.176,33.3225,134.934,108.135,93.13,0.721845,1.36039,43.9635,train
1015,0.690249,0.0933688,2164.12,1396.43,322.176,120.565,20.8554,11.745,112.703,110.936,0.903426,2.47099,36.4553,train
1016,4.24245,2.26116,3609.06,2663.24,4185.88,143.672,57.0825,241.794,127.88,97.2342,0.463702,0.695097,57.7642,train
1017,1.66118,1.51275,3606.48,3491.56,7995.68,131.258,57.1182,244.263,90.4861,103.364,0.623762,1.5138,30.5493,test
1018,0.78528,0.676883,1251.23,3566.02,7372.54,230.501,43.3454,182.612,44.6488,119,0.993035,7.50336,24.7692,train
1019,1.1135,0.175696,1989.07,3697.29,592.806,80.8534,9.98479,25.8605,69.1774,49.7949,0.561744,0.912574,43.624,train
1020,3.13107,0.0798877,3212.45,1879.89,141.966,93.3457,45.9371,4.33956,92.9142,74.8328,0.609503,0.945308,30.5675,train
1021,0.0989869,0.920431,2526.58,2244.08,178.046,264.172,21.52,30.1812,143.495,36.1319,0.497326,0.711905,169.513,train
1022,0.068261,0.175153,1556.92,1718.58,457.254,259.283,24.7353,23.9077,34.326,104.159,0.95911,4.30247,52.2854,train
1023,0.193712,2.60757,2339.69,3463.1,893.875,100.082,14.6629,33.0216,27.2234,18.3196,0.852955,1.97225,36.942,train
1024,0.192953,0.221533,2145.93,1592.09,137.039,135.754,13.2036,12.3484,105.931,48.2145,0.285686,0.388541,90.1087,train
1025,3.404,1.99998,1430.69,3904.58,1340.31,263.198,56.3179,226.481,216.694,85.3201,0.22479,0.275215,168.976,train
1026,2.29736,3.8512,3934.53,2697.5,100.884,82.2644,46.6549,3.55532,81.871,46.9972,0.0110456,0.0111609,35.2416,train
1027,0.237856,1.50965,3307.37,1110.71,285.538,116.13,9.93515,23.8815,85.7731,24.1777,0.285863,0.362966,83.6367,test
1028,0.18373,0.535836,3235.08,3985.29,890.989,196.454,31.5765,71.528,76.1137,65.0719,0.729877,1.49902,80.2793,train
1029,0.24759,0.340849,1978.12,1804.71,1325.37,253.024,53.8423,76.3948,97.0407,178.034,0.783121,2.70615,57.6403,train
1030,4.14373,0.12055,1820.34,2405.63,595.085,175.218,58.0778,29.4052,171.32,159.475,0.865606,2.05203,49.4134,train
1031,0.0579199,0.254106,3888.86,1293.65,9680.1,177.536,35.6315,31.9629,35.6316,132.865,1,42.9764,3.30192,train
1032,1.2504,0.455583,2392.05,3710.32,8600.43,246.156,23.8803,356.668,126.909,234.882,0.949279,5.08793,41.471,test
1033,3.49677,0.562733,3192.46,2639.69,1563.18,118.407,38.8366,74.7225,111.713,89.1399,0.632185,1.05233,47.8017,train
1034,0.680141,0.845627,3385.97,3068.92,301.345,204.974,46.5998,42.479,186.528,62.9683,0.116468,0.130853,140.964,train
1035,0.0840289,0.0589743,1345.79,3720.73,488.534,128.44,52.5476,8.03497,57.3877,89.1655,0.936224,4.32004,16.4471,train
1036,0.603764,0.0905371,1965.74,2413.77,5633,233.21,32.9217,43.7703,196.331,233.21,1,25.7761,7.77034,test
1037,0.23725,2.44427,3076.2,3626.9,483.43,147.014,51.3743,33.2851,101.407,55.1289,0.47686,0.662388,68.8519,test
1038,1.52744,3.40369,3190.15,3564.04,224.295,275.041,25.8669,54.1386,263.931,30.3297,0.0445891,0.0460304,241.372,train
1039,3.14684,0.306893,1541.58,2655.42,1612.67,202.669,21.9719,122.852,177.344,172.724,0.834283,1.97891,76.1794,train
1040,0.863674,1.34133,1086.86,2829.15,1286.56,296.475,20.7696,182.658,101.888,68.9029,0.705779,1.37059,141.973,train
1041,0.0875952,4.16813,1175.31,1289.12,1212.75,189.447,16.9317,17.7604,16.9333,20.237,0.999991,11.7799,14.6448,train
1042,0.138531,0.102767,3810.46,1804.2,1258.93,276.73,18.6329,47.4738,186.795,274.676,0.99204,6.78987,37.7095,train
1043,2.71856,1.22205,1584.28,2802.02,1548.61,262.093,14.5004,272.585,198.803,94.1058,0.321518,0.452254,176.019,train
1044,0.392033,0.504686,1325.93,1721.78,5887.42,230.024,59.9726,88.017,60.6986,161.263,0.995731,11.3261,14.95,train
1045,0.13652,3.94666,2152.01,3777.58,3364.71,180.024,19.2267,47.2401,19.2288,22.3953,0.999987,11.4527,14.0399,train
1046,0.0861259,0.726969,3049.61,2074.58,290.63,97.2198,12.6898,14.2976,42.784,22.17,0.643983,1.10653,49.1952,train
1047,4.41863,2.38445,2350.88,2776.08,16390.4,288.375,31.3414,1361.92,157.265,237.087,0.800464,2.4761,83.0927,test
1048,4.79539,0.105015,2317.86,3636.93,2842.82,171.424,50.6901,46.0785,167.279,171.336,0.99927,7.44329,16.2087,train
1049,1.21173,2.5507,2731,1992.66,189.496,268.469,54.3108,38.7491,256.76,61.9346,0.0546766,0.0572631,204.485,train
